start_time,total_pkts,total_bytes_MB,ave_rate_Mbps,std_rate_Mbps
200903312015,18978188,13102.11,122.08,17.38
200903312030,18600280,12162.18,113.42,11.64
200903312045,19590791,13626.21,126.91,16.07
200903312100,20687271,14809.74,137.99,14.75
200903312115,18851195,13528.22,126.02,14.29
200903312130,16405165,11843.93,110.40,13.80
200903312145,17018933,12123.13,113.00,13.58
200903312200,16627641,11773.71,109.80,13.96
200903312215,16216102,11807.40,109.97,12.88
200903312230,16809929,12414.84,115.72,15.68
200903312245,17874209,13246.04,123.45,23.85
200903312300,19242583,15102.99,140.74,26.90
200903312315,17847805,13390.12,124.79,17.76
200903312330,17836816,13128.01,122.37,14.85
200903312345,17757828,12768.39,119.10,14.38
200904010000,18032211,12843.91,119.67,13.78
200904010015,16428098,11374.15,106.03,14.34
200904010030,16264869,10617.17,98.99,11.30
200904010045,17485090,11952.82,111.35,12.43
200904010100,17911042,12579.59,117.27,13.71
200904010115,17729697,12235.10,114.00,10.52
200904010130,15834502,10958.51,102.18,14.76
200904010145,14346741,9902.34,92.27,14.91
200904010200,13266087,9403.51,87.59,9.28
200904010215,13188145,9006.94,83.95,9.36
200904010230,13226862,8871.12,82.70,12.69
200904010245,12939699,8654.96,80.69,10.74
200904010300,12847768,8907.03,88.05,16.61
200904010315,12302283,8087.45,75.40,11.55
200904010330,13044279,8760.71,81.63,11.07
200904010345,12107798,8485.03,79.07,11.70
200904010400,11213690,7826.33,72.98,9.02
200904010415,11500028,7911.09,73.70,8.40
200904010430,11195551,7632.69,72.17,10.91
200904010445,10571569,7196.19,67.06,10.49
200904010500,10733519,6933.66,64.67,10.56
200904010515,9958054,6724.91,62.67,10.28
200904010530,10471488,7486.64,69.76,11.31
200904010545,9336500,6478.78,60.40,8.94
200904010600,8912688,5983.58,55.79,9.51
200904010615,9524186,6180.62,57.61,11.94
200904010630,9454937,6314.64,58.84,9.64
200904010645,9372710,6320.84,58.95,8.57
200904010700,9369643,6283.14,58.56,10.11
200904010715,10961516,7770.18,72.49,12.91
200904010730,11189350,8060.80,75.08,11.86
200904010745,10246650,7222.18,67.30,10.11
200904010800,9094900,5976.30,55.70,8.33
200904010815,9367719,6717.65,62.62,10.58
200904010830,9444452,6632.88,61.82,9.65
200904010845,10531460,6669.88,62.16,7.98
200904010900,11606271,6963.21,64.93,9.00
200904010915,11398139,7537.09,70.23,10.37
200904010930,11009673,7278.10,67.88,10.57
200904010945,11964436,8112.43,75.89,13.38
200904011000,12769614,9129.68,85.15,15.98
200904011015,13382668,9249.59,86.24,14.55
200904011030,13988864,9912.65,92.38,13.96
200904011045,16124018,12005.57,111.92,15.20
200904011100,17287859,12443.44,115.93,21.62
200904011115,14721692,10407.45,96.97,10.77
200904011130,14522850,9704.36,90.45,12.38
200904011145,15918600,11260.49,105.06,14.23
200904011200,14982374,10222.26,95.24,13.83
200904011215,14826390,10194.23,94.99,10.38
200904011230,16107389,11579.64,108.00,15.43
200904011245,16414485,12146.40,113.18,13.86
200904011300,14705334,9985.12,93.04,12.46
200904011315,17303666,11617.18,108.34,23.34
200904011330,15030325,9650.28,89.93,11.29
200904011345,14956555,10088.71,94.03,10.06
200904011400,14555484,9677.10,90.25,13.34
200904011415,14500721,9697.20,90.37,13.32
200904011430,17354521,12008.71,111.97,13.31
200904011445,17863677,12950.13,120.72,11.58
200904011500,17603842,11963.94,111.53,13.51
200904011515,16923946,11513.19,107.21,14.40
200904011530,17624453,11961.99,111.52,11.84
200904011545,17488965,11999.78,111.84,14.33
200904011600,18113634,12664.19,118.15,14.41
200904011615,18233221,12039.24,112.12,14.44
200904011630,19282695,13275.91,123.85,13.99
200904011645,19435148,13596.25,126.68,12.98
200904011700,19572295,13124.58,122.40,12.12
200904011715,20166347,13492.45,125.68,12.00
200904011730,20559220,14635.08,136.46,10.17
200904011745,19906512,14575.19,135.73,12.01
200904011800,18985471,13522.57,126.16,13.11
200904011815,18634068,12860.54,119.83,15.12
200904011830,16986089,11778.29,109.80,11.64
200904011845,18330988,13354.90,124.47,12.29
200904011900,18568522,12764.60,118.90,9.41
200904011915,16846862,11840.58,110.39,12.31
200904011930,16937501,11248.33,104.88,10.23
200904011945,17555068,12198.17,113.72,13.03
200904012000,19120070,14208.33,132.33,17.38
200904012015,18096565,12981.41,121.02,12.53
200904012030,16661113,11472.84,106.97,13.14
200904012045,18116164,12364.16,115.22,20.12
200904012100,19467481,11726.32,109.31,11.15
200904012115,16570350,10824.62,100.95,12.47
200904012130,16374265,10920.84,101.73,10.63
200904012145,16576991,11594.69,108.10,12.82
200904012200,16696317,11559.32,107.71,11.38
200904012215,17782236,11241.12,104.81,9.70
200904012230,18705888,11936.40,111.24,11.04
200904012245,19858372,13296.65,123.87,11.23
200904012300,19052879,13511.68,126.06,11.43
200904012315,19562712,13691.98,127.55,14.37
200904012330,19623753,14605.85,136.22,13.78
200904012345,24004269,18824.37,175.38,20.58
200904020000,23036873,17147.69,159.83,14.77
200904020015,22169460,16285.95,151.77,11.14
200904020030,21124685,15934.74,148.50,13.75
200904020045,20996893,15679.36,146.17,13.70
200904020100,21523362,15883.16,148.05,13.87
200904020115,20599611,15238.15,142.09,10.55
