date,start_time,end_time,duration,total_pkts,ave_rate,std_rate
2007-4-30,14:00:01,14:15:01,899.84,13425329,78.09,14.62
2007-5-1,14:00:01,14:15:00,899.17,24937582,155.44,11.07
2007-5-2,14:00:00,14:15:01,900.44,19445964,117.3,13.12
2007-5-3,14:00:01,14:15:01,899.94,14046351,83.13,13.64
2007-5-4,14:00:00,14:15:00,900.55,12991061,72.12,13.48
2007-5-5,14:00:00,14:15:01,900.12,12488313,73.79,9.65
2007-5-6,14:00:01,14:15:01,900.08,12620894,73.12,11.45
2007-5-7,14:00:01,14:15:01,900.35,23292902,149.86,14.96
2007-5-8,14:00:01,14:15:01,899.84,25091640,156.33,15.18
2007-5-9,14:00:01,14:15:00,899.62,23456053,147.9,12.67
2007-5-10,14:00:01,14:15:01,899.9,24959850,152.97,9.23
2007-5-11,14:00:00,14:15:00,899.93,23281848,141.73,14.52
2007-5-12,14:00:01,14:15:00,899.44,16812625,96.03,11.54
2007-5-13,14:00:01,14:15:00,899.49,14015547,88.33,8.01
2007-5-14,14:00:01,14:15:00,898.97,22352193,132.76,17.56
2007-5-15,14:00:00,14:15:01,900.11,23871682,148.89,15.24
2007-5-16,14:00:00,14:15:01,900.38,25664823,153.75,16.01
2007-5-17,14:00:00,14:15:01,900.4,23512184,155.44,15.13
2007-5-18,14:00:01,14:15:00,899.11,22374739,140.47,14.21
2007-5-19,14:00:01,14:15:00,899.64,15716761,95.64,9.64
2007-5-20,14:00:00,14:15:00,900.03,12669662,79.92,15.33
2007-5-21,14:00:00,14:15:01,900.53,23790596,150.22,16.89
2007-5-22,14:00:00,14:15:00,899.88,23904834,148.77,13.8
2007-5-23,14:00:00,14:15:01,900.56,22701125,136.08,20.22
2007-5-24,14:00:01,14:15:01,899.73,26342057,164.61,9.24
2007-5-25,14:00:01,14:15:00,899.39,20426820,117.8,16.9
2007-5-26,14:00:01,14:15:00,899.7,18255653,113.58,18.2
2007-5-27,14:00:01,14:15:00,899.14,14104992,91.49,9.65
2007-5-28,14:00:00,14:15:00,899.94,19272051,100.56,19
2007-5-29,14:00:00,14:15:00,899.86,19961016,104.13,18.05
2007-5-30,14:00:00,14:15:00,899.81,19408446,110.26,14.64
2007-5-31,14:00:00,14:15:01,900.4,25981544,155.03,12.25
2007-6-1,,,,,,
2007-6-2,,,,,,
2007-6-3,,,,,,
2007-6-4,,,,,,
2007-6-5,,,,,,
2007-6-6,,,,,,
2007-6-7,,,,,,
2007-6-8,,,,,,
2007-6-9,,,,,,
2007-6-10,,,,,,
2007-6-11,,,,,,
2007-6-12,14:00:01,14:15:01,900.1,23415441,145.69,22.44
2007-6-13,14:00:00,14:15:01,900.31,26844634,166.16,36.54
2007-6-14,14:00:01,14:15:00,899.7,27494754,165.92,19.51
2007-6-15,14:00:00,14:15:01,900.25,23354513,144.87,18.38
2007-6-16,14:00:00,14:15:00,899.76,15134023,84,11.98
2007-6-17,14:00:01,14:15:01,900.24,12785400,74.63,11.86
2007-6-18,14:00:01,14:15:01,900.37,24179624,144.62,23.08
2007-6-19,14:00:01,14:15:01,899.59,24005079,142.21,20.21
2007-6-20,14:00:01,14:15:00,899.83,22791546,142.35,27.67
2007-6-21,14:00:01,14:15:01,900.19,29500434,200.28,39.88
2007-6-22,14:00:01,14:15:01,899.78,24708124,156.48,30.73
2007-6-23,14:00:01,14:15:01,899.86,14234851,79.09,12.29
2007-6-24,14:00:01,14:15:00,899.46,9791159,53.34,10.75
2007-6-25,14:00:01,14:15:00,899.53,24424198,146.59,23.07
2007-6-26,14:00:00,14:15:01,900.2,25293239,159.11,19.09
2007-6-27,14:00:00,14:15:00,900,26275094,161.01,26.98
2007-6-28,14:00:01,14:15:01,900.14,26019124,158.35,26.28
2007-6-29,14:00:00,14:15:01,900.45,25909126,165.64,25.59
2007-6-30,14:00:01,14:15:00,899.68,16010444,102.2,16.78
2007-7-1,14:00:00,14:15:00,899.85,14441131,93.83,11.28
2007-7-2,14:00:01,14:15:00,899.47,25189175,154.44,22.4
2007-7-3,14:00:01,14:15:00,899.46,30332584,191.6,25.03
2007-7-4,14:00:00,14:15:01,900.6,31615772,210.43,34.66
2007-7-5,14:00:00,14:15:01,900.34,30469548,202.17,28.59
2007-7-6,14:00:01,14:15:01,900.45,23771618,143.83,16.71
2007-7-7,14:00:00,14:15:01,900.33,19943146,138.64,31.72
2007-7-8,14:00:01,14:15:01,900.06,12694480,74.26,11.85
2007-7-9,14:00:01,14:15:01,899.64,27700823,177.7,31.65
2007-7-10,14:00:01,14:15:01,900.41,31673828,158.45,22.12
2007-7-11,14:00:00,14:15:01,900.26,35474545,196.6,27.5
2007-7-12,14:00:01,14:15:01,899.8,29178758,194.17,30.69
2007-7-13,14:00:01,14:15:01,899.98,24807843,152.54,21.04
2007-7-14,14:00:00,14:15:00,899.79,16557901,100.4,18.88
2007-7-15,14:00:00,14:15:00,900.36,13072668,79.98,12.67
2007-7-16,14:00:01,14:15:00,899.75,20785658,136.05,19.7
2007-7-17,14:00:01,14:15:01,899.63,24416240,164.76,19.01
2007-7-18,14:00:01,14:15:01,899.75,26317365,161.16,22.68
2007-7-19,14:00:01,14:15:00,899.32,27794274,189.94,32.84
2007-7-20,14:00:01,14:15:01,899.99,24128203,152.31,24.27
2007-7-21,14:00:01,14:15:00,899.78,20167635,139.64,21.13
2007-7-22,14:00:00,14:15:00,899.95,15134129,99.74,11
2007-7-23,14:00:01,14:15:01,899.99,21872537,136.38,14.06
