rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
1073092.716417548,0.055964966381297394,0.003331753786872415,"(0, 1, 0)","(2, 0, 1, 0)",c
1072041.069475677,0.12746615409851075,0.0033784978529986212,"(0, 1, 0)","(2, 0, 2, 0)",c
1069154.7022917164,0.006966464659746955,0.0031269045437083524,"(0, 1, 0)","(0, 0, 0, 0)",t
1067093.4957530838,0.021408703747917625,0.0032634735107421875,"(0, 1, 0)","(0, 0, 1, 0)",t
1074702.0349896224,0.032908361098345586,0.0033968560835894415,"(0, 1, 0)","(0, 0, 2, 0)",t
1065310.309099237,0.013806424421422622,0.003182181190041935,"(0, 1, 0)","(1, 0, 0, 0)",t
1070003.4606044579,0.05547542011036592,0.003333447961246266,"(0, 1, 0)","(1, 0, 1, 0)",t
1075541.4006155482,0.06757339309243594,0.003344426435582778,"(0, 1, 0)","(1, 0, 2, 0)",t
1073810.9348898858,0.018675049613503848,0.0032641523024615118,"(0, 1, 0)","(2, 0, 0, 0)",t
1075204.3320131367,0.05550798528334674,0.00335541051976821,"(0, 1, 0)","(2, 0, 1, 0)",t
1072528.8609816206,0.13085752374985637,0.0033649668974034927,"(0, 1, 0)","(2, 0, 2, 0)",t
1070371.0471983938,0.00839695649988511,0.003133224038516774,"(0, 1, 0)","(0, 0, 0, 0)",ct
1068143.098822108,0.025829326405244716,0.003246486888212316,"(0, 1, 0)","(0, 0, 1, 0)",ct
1075667.8225668063,0.038327472350176646,0.003362170387716854,"(0, 1, 0)","(0, 0, 2, 0)",ct
1066300.4560962657,0.017270694059484146,0.003182026919196634,"(0, 1, 0)","(1, 0, 0, 0)",ct
1071593.8118544328,0.06557549588820513,0.0033431165358599494,"(0, 1, 0)","(1, 0, 1, 0)",ct
1076422.0963743227,0.07821307182312012,0.003337686202105354,"(0, 1, 0)","(1, 0, 2, 0)",ct
1074575.5745411403,0.02405537156497731,0.003389737185309915,"(0, 1, 0)","(2, 0, 0, 0)",ct
1076179.977630314,0.06356189391192268,0.0033353160409366383,"(0, 1, 0)","(2, 0, 1, 0)",ct
1075465.4170625808,0.14612734177533318,0.003357988245346967,"(0, 1, 0)","(2, 0, 2, 0)",ct
1063399.334393858,0.010794277752147,0.0021790644701789406,"(0, 1, 1)","(0, 0, 0, 0)",n
1062819.2217295617,0.01608548725352568,0.0021776255439309514,"(0, 1, 1)","(0, 0, 1, 0)",n
1072993.6327786767,0.04361940271714154,0.0023002007428337547,"(0, 1, 1)","(0, 0, 2, 0)",n
1065031.4224571844,0.028430784449857825,0.00219419142779182,"(0, 1, 1)","(1, 0, 0, 0)",n
1072560.372187844,0.04466023445129395,0.0022786533131318935,"(0, 1, 1)","(1, 0, 1, 0)",n
1073752.2138626198,0.0903331812690286,0.002330631368300494,"(0, 1, 1)","(1, 0, 2, 0)",n
1071815.555383229,0.033463183571310604,0.0021990215077119716,"(0, 1, 1)","(2, 0, 0, 0)",n
1071787.0486414707,0.061674824882956114,0.0022621659671559053,"(0, 1, 1)","(2, 0, 1, 0)",n
1070462.747691749,0.118446683883667,0.00246431126314051,"(0, 1, 1)","(2, 0, 2, 0)",n
1064824.5023903993,0.021827044206507065,0.003358804478364832,"(0, 1, 1)","(0, 0, 0, 0)",c
1064257.58331806,0.03067923433640424,0.003276491165161133,"(0, 1, 1)","(0, 0, 1, 0)",c
1074319.3099354813,0.08669698939603918,0.0034093548269832834,"(0, 1, 1)","(0, 0, 2, 0)",c
