rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
17488708.361452844,0.45577195021605577,0.017170847522830622,"(0, 1, 0)","(1, 0, 1, 0)",t
17460620.696277354,0.8966613245745712,0.017505342850057257,"(0, 1, 0)","(1, 0, 2, 0)",t
19431788.08928164,0.0941882339943629,0.017093415503541487,"(0, 1, 0)","(2, 0, 0, 0)",t
17451866.990681767,0.6266125614532797,0.01716178987939728,"(0, 1, 0)","(2, 0, 1, 0)",t
17263929.73841929,2.8335001578958856,0.017527256713360372,"(0, 1, 0)","(2, 0, 2, 0)",t
19356497.36457464,0.10161480134350832,0.02836482182657733,"(0, 1, 0)","(0, 0, 0, 0)",ct
19319870.15381222,0.3739037437371088,0.02957380199771759,"(0, 1, 0)","(0, 0, 1, 0)",ct
17454856.460337795,0.5236139314454645,0.030050413181490463,"(0, 1, 0)","(0, 0, 2, 0)",ct
20086115.53541146,0.12062645891807257,0.028169974737744314,"(0, 1, 0)","(1, 0, 0, 0)",ct
17489236.598820027,0.5877506260628661,0.029775544559121275,"(0, 1, 0)","(1, 0, 1, 0)",ct
17659177.438425772,1.873775460400474,0.030093916794583467,"(0, 1, 0)","(1, 0, 2, 0)",ct
19432938.28669091,0.15480639473540644,0.029659825004858194,"(0, 1, 0)","(2, 0, 0, 0)",ct
17451223.813215908,0.7600673837311045,0.029771773416376622,"(0, 1, 0)","(2, 0, 1, 0)",ct
17668480.693471078,3.681729668258631,0.030111669504204113,"(0, 1, 0)","(2, 0, 2, 0)",ct
19324415.771985974,0.11956052367231883,0.012578378792759363,"(0, 1, 1)","(0, 0, 0, 0)",n
19999489.463538334,0.122660049764287,0.013085652924941528,"(0, 1, 1)","(0, 0, 1, 0)",n
17376351.515856043,0.49065809317755105,0.015333800694837831,"(0, 1, 1)","(0, 0, 2, 0)",n
17486877.864036445,0.2631029678267799,0.012458828703223034,"(0, 1, 1)","(1, 0, 0, 0)",n
17458592.45632331,0.4702075568523837,0.01311200227884494,"(0, 1, 1)","(1, 0, 1, 0)",n
17459216.775303904,0.7959296632633232,0.014322323307023778,"(0, 1, 1)","(1, 0, 2, 0)",n
17449831.348169226,0.47249851730229026,0.012550046011222215,"(0, 1, 1)","(2, 0, 0, 0)",n
17238704.970529206,1.1987983105728492,0.01441746589552041,"(0, 1, 1)","(2, 0, 1, 0)",n
15960513.102697669,4.323235226130005,0.01755791768201871,"(0, 1, 1)","(2, 0, 2, 0)",n
19326788.385150816,0.2710675774661389,0.017150582792071684,"(0, 1, 1)","(0, 0, 0, 0)",c
20003265.73152803,0.25351355282295923,0.017546947599164392,"(0, 1, 1)","(0, 0, 1, 0)",c
17379227.801665895,0.7962932920399368,0.019489672401763084,"(0, 1, 1)","(0, 0, 2, 0)",c
17499360.242266603,0.5766496638527686,0.017221371898447493,"(0, 1, 1)","(1, 0, 0, 0)",c
17467401.558804672,0.818514552404872,0.017576373768870942,"(0, 1, 1)","(1, 0, 1, 0)",c
17692689.711388946,2.2188745353852584,0.01951539191204175,"(0, 1, 1)","(1, 0, 2, 0)",c
17460184.235678155,1.0138629283203633,0.017224880017136904,"(0, 1, 1)","(2, 0, 0, 0)",c
17252604.041810304,2.0061358237464515,0.017597810229372724,"(0, 1, 1)","(2, 0, 1, 0)",c
17667258.40729567,4.524811247206809,0.019554771986720402,"(0, 1, 1)","(2, 0, 2, 0)",c
19332443.353356592,0.2711060344112301,0.017222166344222932,"(0, 1, 1)","(0, 0, 0, 0)",t
20011099.524535418,0.253254167549975,0.017590833021369833,"(0, 1, 1)","(0, 0, 1, 0)",t
17386674.565636728,0.7970957674024227,0.018987178236847105,"(0, 1, 1)","(0, 0, 2, 0)",t
17515507.8655832,0.582340270740423,0.017134138980652795,"(0, 1, 1)","(1, 0, 0, 0)",t
17485649.162046313,0.8301143272915769,0.0175174928644798,"(0, 1, 1)","(1, 0, 1, 0)",t
17485765.325310152,1.4447656201015304,0.018730204583345643,"(0, 1, 1)","(1, 0, 2, 0)",t
17477475.417124033,1.0146605122838863,0.017166502535131054,"(0, 1, 1)","(2, 0, 0, 0)",t
17270713.57451865,2.01731136798293,0.017511953804133767,"(0, 1, 1)","(2, 0, 1, 0)",t
16051804.608452512,5.414021441096513,0.018752400419748832,"(0, 1, 1)","(2, 0, 2, 0)",t
19335316.51308616,0.394559710899706,0.029626078170106644,"(0, 1, 1)","(0, 0, 0, 0)",ct
20015130.81395395,0.3652243303093056,0.029979680922249174,"(0, 1, 1)","(0, 0, 1, 0)",ct
17390022.29123261,0.9678601155218847,0.032081131126249954,"(0, 1, 1)","(0, 0, 2, 0)",ct
17520607.002216965,0.7675894491754535,0.02973876446308756,"(0, 1, 1)","(1, 0, 0, 0)",ct
17487165.086616065,1.018739347921713,0.030057895225986467,"(0, 1, 1)","(1, 0, 1, 0)",ct
17731998.745352212,3.3502151572972996,0.03217474138750866,"(0, 1, 1)","(1, 0, 2, 0)",ct
17480769.28358968,1.2530044225328474,0.029704883005271177,"(0, 1, 1)","(2, 0, 0, 0)",ct
115246506149.12517,2.336294365664535,0.030175612631783085,"(0, 1, 1)","(2, 0, 1, 0)",ct
18000468.54663613,5.015770933947671,0.032224002116374134,"(0, 1, 1)","(2, 0, 2, 0)",ct
17458483.67735955,0.2651870406253765,0.014336727126495977,"(0, 1, 2)","(0, 0, 0, 0)",n
17376346.961653158,0.4849224528949597,0.01576800872422622,"(0, 1, 2)","(0, 0, 1, 0)",n
17874377.89257297,0.3721144253107435,0.015579184603436562,"(0, 1, 2)","(0, 0, 2, 0)",n
17458567.51993583,0.35974759959382663,0.012704392203515394,"(0, 1, 2)","(1, 0, 0, 0)",n
17519655.74066575,0.8798734228240496,0.013248777332962054,"(0, 1, 2)","(1, 0, 1, 0)",n
17556205.452871762,1.479707719026794,0.016425673506296683,"(0, 1, 2)","(1, 0, 2, 0)",n
17403579.422774963,1.134949796140406,0.013744349440080274,"(0, 1, 2)","(2, 0, 0, 0)",n
1251990018.197993,4.7653263947293425,0.017535952628012372,"(0, 1, 2)","(2, 0, 1, 0)",n
17463736.91894674,3.053387277632563,0.01718494702629913,"(0, 1, 2)","(2, 0, 2, 0)",n
17465212.41707408,0.4243364721571989,0.01755386258642303,"(0, 1, 2)","(0, 0, 0, 0)",c
17383496.830843717,0.7975698340405774,0.018678258180901106,"(0, 1, 2)","(0, 0, 1, 0)",c
17850059.597014148,0.6403858545694769,0.02061342712257539,"(0, 1, 2)","(0, 0, 2, 0)",c
17471240.69915153,0.6990167110415965,0.01758118597779551,"(0, 1, 2)","(1, 0, 0, 0)",c
17469578.431327812,1.636695684487285,0.018700224366193705,"(0, 1, 2)","(1, 0, 1, 0)",c
17572752.60075307,3.5214232541488157,0.02063599090983435,"(0, 1, 2)","(1, 0, 2, 0)",c
17444507.591229357,2.050772425684358,0.017589279199692984,"(0, 1, 2)","(2, 0, 0, 0)",c
59715104.60079192,5.8031087518445394,0.018713235572280974,"(0, 1, 2)","(2, 0, 1, 0)",c
17652962.665050384,5.0362367369809045,0.020635369833678113,"(0, 1, 2)","(2, 0, 2, 0)",c
17477672.780902322,0.4229930861281896,0.01755446386506973,"(0, 1, 2)","(0, 0, 0, 0)",t
