rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
173.74398394717647,2.181393775227231,0.030184819039359493,"(0, 1, 0)","(2, 0, 1, 0)",ct
176.83673143589476,4.064500351958993,0.031063383867166502,"(0, 1, 0)","(2, 0, 2, 0)",ct
202.04113737138064,0.1658215556704701,0.011850010882068784,"(0, 1, 1)","(0, 0, 0, 0)",n
207.52462745478059,0.18657091786711524,0.012053129370385076,"(0, 1, 1)","(0, 0, 1, 0)",n
174.94968159134098,0.4853621784902552,0.013323419600336294,"(0, 1, 1)","(0, 0, 2, 0)",n
182.37805006592254,0.3599881181230466,0.012069570636409881,"(0, 1, 1)","(1, 0, 0, 0)",n
175.36867765000267,0.47786728541056317,0.012270050116705301,"(0, 1, 1)","(1, 0, 1, 0)",n
175.62569649960648,1.3618950838154604,0.013850257631439896,"(0, 1, 1)","(1, 0, 2, 0)",n
173.80938069862034,0.4310648987160317,0.011941193403015499,"(0, 1, 1)","(2, 0, 0, 0)",n
170.29948642162358,0.8896693029437626,0.012224543844112156,"(0, 1, 1)","(2, 0, 1, 0)",n
166.21306096049898,2.0853425429809134,0.014554149881093669,"(0, 1, 1)","(2, 0, 2, 0)",n
202.05788383352063,0.7698186863642429,0.01739084169109521,"(0, 1, 1)","(0, 0, 0, 0)",c
180.24340540785244,1.63133517052638,0.017964037853345046,"(0, 1, 1)","(0, 0, 1, 0)",c
174.9532524627579,1.9075570332763598,0.019468601912366115,"(0, 1, 1)","(0, 0, 2, 0)",c
182.37777479259225,1.3677317770916089,0.01764788689845256,"(0, 1, 1)","(1, 0, 0, 0)",c
175.37237809743007,1.8067504991981624,0.017901183871612006,"(0, 1, 1)","(1, 0, 1, 0)",c
175.92841528556698,3.6582206938756037,0.019021050644373413,"(0, 1, 1)","(1, 0, 2, 0)",c
173.8208960564088,1.691595894020506,0.017448921079171793,"(0, 1, 1)","(2, 0, 0, 0)",c
170.33366635247074,2.9183138089954923,0.018021214192165316,"(0, 1, 1)","(2, 0, 1, 0)",c
166.83035977693055,4.754458110951869,0.0189761711043678,"(0, 1, 1)","(2, 0, 2, 0)",c
202.06716375923807,0.909163105954479,0.01761173127243386,"(0, 1, 1)","(0, 0, 0, 0)",t
207.47797387429074,0.5909253003899878,0.017775166218532503,"(0, 1, 1)","(0, 0, 1, 0)",t
175.33640684008876,2.7950676169118283,0.01894902334518704,"(0, 1, 1)","(0, 0, 2, 0)",t
182.42130517181022,1.938576527761819,0.0174816896341308,"(0, 1, 1)","(1, 0, 0, 0)",t
186.4649324450736,1.4790265913677103,0.01791017759737171,"(0, 1, 1)","(1, 0, 1, 0)",t
181.1909253692506,2.8034015519197584,0.019053827118336236,"(0, 1, 1)","(1, 0, 2, 0)",t
173.83045017422847,2.3622183174707994,0.017467760672065853,"(0, 1, 1)","(2, 0, 0, 0)",t
